genome,species,SGB,species_name,Quality_score,Genome_quality,VMGC_representative,genome_is_VMGC_representative,representative,genome_is_representative
MG1324.mbin.24,941235,SGB014,Prevotella timonensis_A,96.87,high-quality,P10708985.mbin.1,0,P10708985.mbin.1,0
SRR6747967.sbin.2,619501,SGB002,Fannyhessea vaginae,96.87,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG673.sbin.27,123406,SGB010,UBA629 sp005465875 (BVAB1),96.87,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SRR13167593.mbin.6,123406,SGB010,UBA629 sp005465875 (BVAB1),96.87,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SRR13167639.mbin.1,123406,SGB010,UBA629 sp005465875 (BVAB1),96.87,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG1110.mbin.14,619501,SGB002,Fannyhessea vaginae,96.86,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
P10709013.mbin.9,619501,SGB002,Fannyhessea vaginae,96.86,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
SRR16916872.mbin.6,498055,SGB007,Prevotella amnii,96.86,high-quality,MG1206.mbin.20,0,MG1206.mbin.20,0
MG1261.mbin.1,499721,SGB040,Lactobacillus mulieris,96.86,high-quality,GCF_000159335.1,0,GCF_000159335.1,0
GCA_015700695.1,696853,SGB020,Bifidobacterium vaginale_C,96.85,high-quality,ERR10897780.mbin.8,0,ERR10897780.mbin.8,0
GCA_015700665.1,696853,SGB020,Bifidobacterium vaginale_C,96.85,high-quality,ERR10897780.mbin.8,0,ERR10897780.mbin.8,0
ERR4705329.mbin.15,367459,SGB005,Bifidobacterium swidsinskii,96.85,high-quality,MG1112.mbin.9,0,MG1112.mbin.9,0
MG286.mbin.2,619501,SGB002,Fannyhessea vaginae,96.85,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
SRR13167714.sbin.1,123406,SGB010,UBA629 sp005465875 (BVAB1),96.85,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG1263.sbin.47,856531,SGB067,Sodaliphilus_unknown,96.85,high-quality,MG222.mbin.12,0,MG222.mbin.12,0
SRR17635658.mbin.16,613480,SGB154,Proteus mirabilis,96.85,high-quality,GCF_000297835.1,0,GCF_000297835.1,0
SRR13167565.sbin.6,988627,SGB011,Sneathia vaginalis,96.85,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
MG731.sbin.16,382359,SGB022,Prevotella sp000758925,96.85,high-quality,MG160.sbin.15,0,MG160.sbin.15,0
SRR17635612.sbin.28,643873,SGB145,Corynebacterium riegelii,96.85,high-quality,MG1016.sbin.7,0,MG1016.sbin.7,0
MG458.mbin.3,696853,SGB020,Bifidobacterium vaginale_C,96.84,high-quality,ERR10897780.mbin.8,0,ERR10897780.mbin.8,0
MG666.sbin.28,619501,SGB002,Fannyhessea vaginae,96.84,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
P10709677.mbin.7,783244,SGB004,Bifidobacterium vaginale,96.84,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
MG1194.sbin.12,379267,SGB015,Fannyhessea_unknown,96.84,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
MG47.mbin.3,123406,SGB010,UBA629 sp005465875 (BVAB1),96.84,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG583.mbin.15,123406,SGB010,UBA629 sp005465875 (BVAB1),96.84,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SRR18765403.mbin.16,123406,SGB010,UBA629 sp005465875 (BVAB1),96.84,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SRR17635492.mbin.24,978264,SGB114,Anaerococcus lactolyticus,96.84,high-quality,GCF_000758765.1,0,GCF_000758765.1,0
MG153.mbin.14,667712,SGB012,Dialister sp001553355,96.84,high-quality,MG666.mbin.6,0,MG666.mbin.6,0
MG605.mbin.2,988627,SGB011,Sneathia vaginalis,96.84,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
SRR16916860.mbin.13,382359,SGB022,Prevotella sp000758925,96.84,high-quality,MG160.sbin.15,0,MG160.sbin.15,0
SRR13694829.mbin.13,783244,SGB004,Bifidobacterium vaginale,96.83,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
MG250.mbin.13,123406,SGB010,UBA629 sp005465875 (BVAB1),96.83,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG488.mbin.7,123406,SGB010,UBA629 sp005465875 (BVAB1),96.83,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG1054.mbin.19,879245,SGB037,Peptoniphilus_A lacrimalis,96.83,high-quality,MG1317.sbin.30,0,MG1317.sbin.30,0
MG236.mbin.6,916256,SGB030,Mobiluncus mulieris,96.83,high-quality,MG190.mbin.7,0,MG190.mbin.7,0
MG1119.mbin.5,240891,SGB001,Lactobacillus iners,96.82,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR21425775.sbin.5,240891,SGB001,Lactobacillus iners,96.82,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
ERR10897650.mbin.2,619501,SGB002,Fannyhessea vaginae,96.82,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG8.mbin.9,619501,SGB002,Fannyhessea vaginae,96.82,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
SRR13167714.mbin.3,719869,SGB013,Prevotella_unknown,96.82,high-quality,MG836.mbin.11,0,MG836.mbin.11,0
MG1158.mbin.2,123406,SGB010,UBA629 sp005465875 (BVAB1),96.82,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG685.mbin.9,123406,SGB010,UBA629 sp005465875 (BVAB1),96.82,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG708.mbin.2,123406,SGB010,UBA629 sp005465875 (BVAB1),96.82,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
P10708995.sbin.15,667712,SGB012,Dialister sp001553355,96.82,high-quality,MG666.mbin.6,0,MG666.mbin.6,0
SRR17635698.sbin.42,665829,SGB034,Mageeibacillus indolicus (BVAB3),96.82,high-quality,GCF_000025225.2,0,GCF_000025225.2,0
MG1333.mbin.28,309546,SGB103,ZJ293_unknown,96.82,high-quality,MG1334.mbin.2,0,MG1334.mbin.2,0
MG1172.sbin.19,736944,SGB107,Bulleidia_unknown,96.81,high-quality,MG1172.sbin.19,1,MG1172.sbin.19,1
SRR17635740.mbin.11,498055,SGB007,Prevotella amnii,96.81,high-quality,MG1206.mbin.20,0,MG1206.mbin.20,0
MG232.mbin.11,379267,SGB015,Fannyhessea_unknown,96.81,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
MG128.sbin.31,123406,SGB010,UBA629 sp005465875 (BVAB1),96.81,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG1271.mbin.10,879245,SGB037,Peptoniphilus_A lacrimalis,96.81,high-quality,MG1317.sbin.30,0,MG1317.sbin.30,0
MG1267.mbin.11,988627,SGB011,Sneathia vaginalis,96.81,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
MG1196.mbin.7,936138,SGB047,Cryptobacteroides_unknown,96.81,high-quality,MG1155.mbin.20,0,ERR10897925.mbin.61,0
SRR12830915.mbin.8,595185,SGB195,Bifidobacterium piotii,96.8,high-quality,SRR12830915.mbin.8,1,SRR13167550.mbin.1,0
MG221.mbin.1,619501,SGB002,Fannyhessea vaginae,96.8,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
P10709926.mbin.8,619501,SGB002,Fannyhessea vaginae,96.8,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG352.mbin.25,379267,SGB015,Fannyhessea_unknown,96.8,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
SAMN00044686.sbin.11,123406,SGB010,UBA629 sp005465875 (BVAB1),96.8,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SRR17635474.mbin.33,916256,SGB030,Mobiluncus mulieris,96.8,high-quality,MG190.mbin.7,0,MG190.mbin.7,0
MG168.mbin.5,988627,SGB011,Sneathia vaginalis,96.8,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
MG673.sbin.17,988627,SGB011,Sneathia vaginalis,96.8,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
SRR16470950.mbin.2,941235,SGB014,Prevotella timonensis_A,96.79,high-quality,P10708985.mbin.1,0,P10708985.mbin.1,0
ERR10898160.mbin.2,619501,SGB002,Fannyhessea vaginae,96.79,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
SRR17635469.sbin.15,123406,SGB010,UBA629 sp005465875 (BVAB1),96.79,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
ERR10897924.mbin.4,499721,SGB040,Lactobacillus mulieris,96.79,high-quality,GCF_000159335.1,0,GCF_000159335.1,0
MG1331.sbin.34,921722,SGB017,Parvimonas sp001552895,96.79,high-quality,MG61.mbin.16,0,MG61.mbin.16,0
SRR16916876.mbin.26,921722,SGB017,Parvimonas sp001552895,96.79,high-quality,MG61.mbin.16,0,MG61.mbin.16,0
SRR17635721.mbin.1,677004,SGB199,Limosilactobacillus oris,96.79,high-quality,SRR17635723.mbin.4,0,SRR17635723.mbin.4,0
P10710181.mbin.5,367459,SGB005,Bifidobacterium swidsinskii,96.78,high-quality,MG1112.mbin.9,0,MG1112.mbin.9,0
MG499.sbin.11,619501,SGB002,Fannyhessea vaginae,96.78,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG937.mbin.2,123406,SGB010,UBA629 sp005465875 (BVAB1),96.78,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG158.sbin.18,988627,SGB011,Sneathia vaginalis,96.78,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
SRR12018947.mbin.1,619501,SGB002,Fannyhessea vaginae,96.77,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG1175.sbin.26,320153,SGB023,Megasphaera hutchinsoni,96.77,high-quality,MG1064.mbin.4,0,MG1064.mbin.4,0
MG1082.mbin.4,123406,SGB010,UBA629 sp005465875 (BVAB1),96.77,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG617.mbin.3,123406,SGB010,UBA629 sp005465875 (BVAB1),96.77,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SAMN00044684.mbin.20,123406,SGB010,UBA629 sp005465875 (BVAB1),96.77,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG1206.mbin.17,916256,SGB030,Mobiluncus mulieris,96.77,high-quality,MG190.mbin.7,0,MG190.mbin.7,0
MG1334.mbin.14,382359,SGB022,Prevotella sp000758925,96.77,high-quality,MG160.sbin.15,0,MG160.sbin.15,0
MG1070.mbin.21,719869,SGB035,Prevotella_unknown,96.77,high-quality,MG214.mbin.27,0,MG836.mbin.11,0
MG1002.mbin.1,619501,SGB002,Fannyhessea vaginae,96.76,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG1046.mbin.3,123406,SGB010,UBA629 sp005465875 (BVAB1),96.76,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG23.mbin.19,123406,SGB010,UBA629 sp005465875 (BVAB1),96.76,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG896.sbin.20,123406,SGB010,UBA629 sp005465875 (BVAB1),96.76,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SAMN00149000.mbin.3,123406,SGB010,UBA629 sp005465875 (BVAB1),96.76,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SRR17635690.sbin.3,123406,SGB010,UBA629 sp005465875 (BVAB1),96.76,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SRR17635701.sbin.12,123406,SGB010,UBA629 sp005465875 (BVAB1),96.76,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG589.mbin.1,988627,SGB011,Sneathia vaginalis,96.76,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
MG923.mbin.23,988627,SGB011,Sneathia vaginalis,96.76,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
SRR16916872.mbin.5,988627,SGB011,Sneathia vaginalis,96.76,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
MG85.mbin.8,936138,SGB047,Cryptobacteroides_unknown,96.76,high-quality,MG1155.mbin.20,0,ERR10897925.mbin.61,0
MG1196.mbin.17,941235,SGB014,Prevotella timonensis_A,96.75,high-quality,P10708985.mbin.1,0,P10708985.mbin.1,0
SRR13167548.mbin.5,619501,SGB002,Fannyhessea vaginae,96.75,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG1331.mbin.9,498055,SGB007,Prevotella amnii,96.75,high-quality,MG1206.mbin.20,0,MG1206.mbin.20,0
SRR16916865.mbin.3,320153,SGB023,Megasphaera hutchinsoni,96.75,high-quality,MG1064.mbin.4,0,MG1064.mbin.4,0
MG887.mbin.13,123406,SGB010,UBA629 sp005465875 (BVAB1),96.75,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG1023.sbin.32,744675,SGB110,Malacoplasma_A girerdii,96.75,high-quality,MG5.sbin.44,0,MG5.sbin.44,0
GCF_027156145.1,158849,SGB091,Limosilactobacillus vaginalis,96.75,high-quality,GCF_027156205.1,0,GCF_027156205.1,0
GCF_001712935.1,496652,SGB511,Treponema pallidum,96.74,high-quality,GCF_001712935.1,1,GCF_001712935.1,1
GCF_003408785.1,783244,SGB004,Bifidobacterium vaginale,96.74,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
SRR16916875.mbin.9,916256,SGB030,Mobiluncus mulieris,96.74,high-quality,MG190.mbin.7,0,MG190.mbin.7,0
MG1203.mbin.19,988627,SGB011,Sneathia vaginalis,96.74,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
SRR12830911.mbin.25,382359,SGB022,Prevotella sp000758925,96.74,high-quality,MG160.sbin.15,0,MG160.sbin.15,0
SRR17635519.mbin.4,534555,SGB101,Peptostreptococcus sp000758885,96.74,high-quality,MG233.mbin.5,0,MG233.mbin.5,0
GCF_003585865.1,367459,SGB005,Bifidobacterium swidsinskii,96.73,high-quality,MG1112.mbin.9,0,MG1112.mbin.9,0
ERR3500846.sbin.4,619501,SGB002,Fannyhessea vaginae,96.73,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG153.mbin.11,619501,SGB002,Fannyhessea vaginae,96.73,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG250.mbin.24,619501,SGB002,Fannyhessea vaginae,96.73,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG403.mbin.17,619501,SGB002,Fannyhessea vaginae,96.73,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG1305.mbin.6,123406,SGB010,UBA629 sp005465875 (BVAB1),96.73,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG335.mbin.1,667712,SGB012,Dialister sp001553355,96.73,high-quality,MG666.mbin.6,0,MG666.mbin.6,0
MG83.mbin.9,988627,SGB011,Sneathia vaginalis,96.73,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
ERR4705252.mbin.5,382359,SGB022,Prevotella sp000758925,96.73,high-quality,MG160.sbin.15,0,MG160.sbin.15,0
MG1252.sbin.41,921722,SGB017,Parvimonas sp001552895,96.73,high-quality,MG61.mbin.16,0,MG61.mbin.16,0
GCF_002896555.1,781098,SGB041,Bifidobacterium vaginale_F,96.72,high-quality,GCF_002896555.1,1,GCF_002896555.1,1
MG1076.mbin.23,482453,SGB233,Nanoperiomorbus_unknown,96.72,high-quality,MG1076.mbin.23,1,MG368.mbin.8,0
SRR17635469.sbin.8,320153,SGB023,Megasphaera hutchinsoni,96.72,high-quality,MG1064.mbin.4,0,MG1064.mbin.4,0
SRR17635519.mbin.10,320153,SGB023,Megasphaera hutchinsoni,96.72,high-quality,MG1064.mbin.4,0,MG1064.mbin.4,0
MG601.mbin.3,595185,SGB026,Bifidobacterium piotii,96.72,high-quality,SRR13167550.mbin.1,0,SRR13167550.mbin.1,0
ERR4705252.mbin.4,123406,SGB010,UBA629 sp005465875 (BVAB1),96.72,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
P10709681.mbin.5,667712,SGB012,Dialister sp001553355,96.72,high-quality,MG666.mbin.6,0,MG666.mbin.6,0
MG1054.sbin.14,916256,SGB030,Mobiluncus mulieris,96.72,high-quality,MG190.mbin.7,0,MG190.mbin.7,0
MG1207.mbin.7,916256,SGB030,Mobiluncus mulieris,96.72,high-quality,MG190.mbin.7,0,MG190.mbin.7,0
GCF_003585735.1,705861,SGB092,Bifidobacterium sp003585735,96.72,high-quality,GCA_015700715.1,0,GCA_015700715.1,0
MG414.sbin.9,619501,SGB002,Fannyhessea vaginae,96.71,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
SRR17284236.mbin.2,619501,SGB002,Fannyhessea vaginae,96.71,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG178.mbin.15,123406,SGB010,UBA629 sp005465875 (BVAB1),96.71,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG640.mbin.6,123406,SGB010,UBA629 sp005465875 (BVAB1),96.71,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG75.mbin.1,123406,SGB010,UBA629 sp005465875 (BVAB1),96.71,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG457.sbin.12,916256,SGB030,Mobiluncus mulieris,96.71,high-quality,MG190.mbin.7,0,MG190.mbin.7,0
SRR17635597.mbin.10,916256,SGB030,Mobiluncus mulieris,96.71,high-quality,MG190.mbin.7,0,MG190.mbin.7,0
MG130.sbin.35,988627,SGB011,Sneathia vaginalis,96.71,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
MG435.mbin.15,581434,SGB021,Sneathia sanguinegens,96.71,high-quality,SRR17635677.sbin.16,0,SRR17635677.sbin.16,0
MG103.mbin.1,719869,SGB035,Prevotella_unknown,96.71,high-quality,MG214.mbin.27,0,MG836.mbin.11,0
SRR13167609.mbin.5,696853,SGB020,Bifidobacterium vaginale_C,96.7,high-quality,ERR10897780.mbin.8,0,ERR10897780.mbin.8,0
MG126.mbin.1,619501,SGB002,Fannyhessea vaginae,96.7,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
SRR18765406.mbin.9,619501,SGB002,Fannyhessea vaginae,96.7,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
ERR10897925.mbin.19,897911,SGB142,Fenollaria massiliensis,96.7,high-quality,GCF_023347705.1,0,GCF_023347705.1,0
MG1155.mbin.16,309208,SGB051,Peptoniphilus_A vaginalis,96.7,high-quality,GCF_900176605.1,0,GCF_900176605.1,0
MG1175.sbin.8,921722,SGB017,Parvimonas sp001552895,96.7,high-quality,MG61.mbin.16,0,MG61.mbin.16,0
MG1336.mbin.26,921722,SGB017,Parvimonas sp001552895,96.7,high-quality,MG61.mbin.16,0,MG61.mbin.16,0
MG1115.mbin.1,240891,SGB001,Lactobacillus iners,96.69,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
P10709180.mbin.5,619501,SGB002,Fannyhessea vaginae,96.69,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG264.mbin.2,595185,SGB026,Bifidobacterium piotii,96.69,high-quality,SRR13167550.mbin.1,0,SRR13167550.mbin.1,0
SRR17635680.sbin.13,123406,SGB010,UBA629 sp005465875 (BVAB1),96.69,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG1236.mbin.3,988627,SGB011,Sneathia vaginalis,96.69,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
MG205.mbin.18,921722,SGB017,Parvimonas sp001552895,96.69,high-quality,MG61.mbin.16,0,MG61.mbin.16,0
MG50.mbin.10,619501,SGB002,Fannyhessea vaginae,96.68,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
ERR10897806.mbin.4,595185,SGB026,Bifidobacterium piotii,96.68,high-quality,SRR13167550.mbin.1,0,SRR13167550.mbin.1,0
MG887.mbin.18,379267,SGB015,Fannyhessea_unknown,96.68,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
MG917.mbin.15,379267,SGB015,Fannyhessea_unknown,96.68,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
MG449.mbin.11,123406,SGB010,UBA629 sp005465875 (BVAB1),96.68,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SRR13167585.mbin.1,123406,SGB010,UBA629 sp005465875 (BVAB1),96.68,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SRR17635679.mbin.1,123406,SGB010,UBA629 sp005465875 (BVAB1),96.68,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG689.mbin.7,542621,SGB024,Aerococcus christensenii,96.68,high-quality,P10709641.mbin.2,0,P10709641.mbin.2,0
MG1080.mbin.61,766234,SGB153,Catonella_unknown,96.67,high-quality,MG1080.mbin.61,1,MG1080.mbin.61,1
ERR10897993.mbin.1,619501,SGB002,Fannyhessea vaginae,96.67,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG1101.mbin.14,619501,SGB002,Fannyhessea vaginae,96.67,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
SRR13900353.mbin.4,897926,SGB053,Bifidobacterium breve,96.67,high-quality,ERR4421624.sbin.1,0,ERR4421624.sbin.1,0
MG943.sbin.2,571325,SGB018,Lactobacillus jensenii,96.67,high-quality,GCF_027155795.1,0,GCF_027155795.1,0
SAMN00064911.mbin.4,783244,SGB004,Bifidobacterium vaginale,96.67,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
MG7.mbin.15,379267,SGB015,Fannyhessea_unknown,96.67,high-quality,MG918.mbin.24,0,MG410.sbin.17,0
ERR10897970.mbin.8,536396,SGB050,Peptostreptococcus anaerobius,96.67,high-quality,SRR16470951.mbin.17,0,SRR16470951.mbin.17,0
MG1328.sbin.9,921722,SGB017,Parvimonas sp001552895,96.67,high-quality,MG61.mbin.16,0,MG61.mbin.16,0
MG426.mbin.5,367459,SGB005,Bifidobacterium swidsinskii,96.66,high-quality,MG1112.mbin.9,0,MG1112.mbin.9,0
MG537.sbin.3,619501,SGB002,Fannyhessea vaginae,96.66,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
SRR11749281.mbin.1,619501,SGB002,Fannyhessea vaginae,96.66,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG560.mbin.15,498055,SGB007,Prevotella amnii,96.66,high-quality,MG1206.mbin.20,0,MG1206.mbin.20,0
MG917.mbin.10,123406,SGB010,UBA629 sp005465875 (BVAB1),96.66,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG918.mbin.6,123406,SGB010,UBA629 sp005465875 (BVAB1),96.66,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
P10707843.mbin.11,667712,SGB012,Dialister sp001553355,96.66,high-quality,MG666.mbin.6,0,MG666.mbin.6,0
MG1023.sbin.4,921722,SGB017,Parvimonas sp001552895,96.66,high-quality,MG61.mbin.16,0,MG61.mbin.16,0
MG180.mbin.13,619501,SGB002,Fannyhessea vaginae,96.65,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG554.mbin.11,619501,SGB002,Fannyhessea vaginae,96.65,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG1266.mbin.13,665829,SGB034,Mageeibacillus indolicus (BVAB3),96.65,high-quality,GCF_000025225.2,0,GCF_000025225.2,0
MG605.mbin.5,696853,SGB020,Bifidobacterium vaginale_C,96.64,high-quality,ERR10897780.mbin.8,0,ERR10897780.mbin.8,0
ERR10897804.sbin.8,619501,SGB002,Fannyhessea vaginae,96.64,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG193.sbin.8,619501,SGB002,Fannyhessea vaginae,96.64,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG216.mbin.11,619501,SGB002,Fannyhessea vaginae,96.64,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
SRR6748167.mbin.1,783244,SGB004,Bifidobacterium vaginale,96.64,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
SRR6748168.mbin.1,783244,SGB004,Bifidobacterium vaginale,96.64,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
SRR6748169.mbin.1,783244,SGB004,Bifidobacterium vaginale,96.64,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
SRR6748216.mbin.1,783244,SGB004,Bifidobacterium vaginale,96.64,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
SRR6748219.mbin.1,783244,SGB004,Bifidobacterium vaginale,96.64,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
MG1099.mbin.14,890778,SGB314,Actinomyces urogenitalis,96.64,high-quality,GCF_000159035.1,0,GCF_000159035.1,0
MG248.mbin.5,619501,SGB002,Fannyhessea vaginae,96.63,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG273.mbin.5,783244,SGB004,Bifidobacterium vaginale,96.63,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
MG181.mbin.8,123406,SGB010,UBA629 sp005465875 (BVAB1),96.63,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG293.mbin.36,123406,SGB010,UBA629 sp005465875 (BVAB1),96.63,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG1358.sbin.11,542621,SGB024,Aerococcus christensenii,96.63,high-quality,P10709641.mbin.2,0,P10709641.mbin.2,0
MG672.mbin.1,367459,SGB005,Bifidobacterium swidsinskii,96.62,high-quality,MG1112.mbin.9,0,MG1112.mbin.9,0
MG2.mbin.14,123406,SGB010,UBA629 sp005465875 (BVAB1),96.62,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
MG874.mbin.1,240891,SGB001,Lactobacillus iners,96.61,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG194.mbin.19,619501,SGB002,Fannyhessea vaginae,96.61,high-quality,GCF_001562845.1,0,GCF_001562845.1,0
MG141.mbin.12,719869,SGB013,Prevotella_unknown,96.61,high-quality,MG836.mbin.11,0,MG836.mbin.11,0
SRR16916881.mbin.2,988627,SGB011,Sneathia vaginalis,96.61,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
SRR17635471.sbin.23,462889,SGB055,Mobiluncus curtisii,96.61,high-quality,GCF_000196535.1,0,GCF_000196535.1,0
ERR10898132.sbin.1,240891,SGB001,Lactobacillus iners,96.6,high-quality,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG442.mbin.3,941235,SGB014,Prevotella timonensis_A,96.6,high-quality,P10708985.mbin.1,0,P10708985.mbin.1,0
MG323.mbin.2,783244,SGB004,Bifidobacterium vaginale,96.6,high-quality,ERR10897722.mbin.1,0,ERR10897722.mbin.1,0
MG130.mbin.16,320153,SGB023,Megasphaera hutchinsoni,96.6,high-quality,MG1064.mbin.4,0,MG1064.mbin.4,0
MG652.sbin.1,861111,SGB033,Streptococcus agalactiae,96.6,high-quality,GCF_001398875.1,0,GCF_001398875.1,0
MG1244.mbin.37,879245,SGB037,Peptoniphilus_A lacrimalis,96.6,high-quality,MG1317.sbin.30,0,MG1317.sbin.30,0
MG325.mbin.17,988627,SGB011,Sneathia vaginalis,96.6,high-quality,MG222.mbin.16,0,MG222.mbin.16,0
MG1172.mbin.16,900875,SGB025,Prevotella bivia,96.59,high-quality,MG238.mbin.3,0,MG238.mbin.3,0
ERR10898288.mbin.2,367459,SGB005,Bifidobacterium swidsinskii,96.59,high-quality,MG1112.mbin.9,0,MG1112.mbin.9,0
MG682.mbin.10,123406,SGB010,UBA629 sp005465875 (BVAB1),96.59,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
SRR13167633.mbin.5,123406,SGB010,UBA629 sp005465875 (BVAB1),96.59,high-quality,MG390.mbin.2,0,MG390.mbin.2,0
