Assembly Accession	CheckM contamination	CheckM completeness	Assembly Stats Total Sequence Length
GCF_001061755.1	3.31	98.7	5714206
GCF_001062535.1	2.16	98.27	5484512
GCF_001062915.1	0.73	98.09	5242661
GCF_001063525.1	1.45	98.5	5499677
GCF_001063755.1	1.17	98.81	5791548
GCF_001063935.1	0.62	98.48	5083283
GCF_001064035.1	1.1	98.18	5502911
GCF_001064955.1	0.83	98.52	5542023
GCF_001065235.1	1.55	98.57	5491015
GCF_001065795.1	2.78	97.85	5357680
GCF_001066095.1	0.85	98.78	5241296
GCF_001066115.1	0.24	99.07	5411554
GCF_001066155.1	0.73	98.18	5418843
GCF_001066165.1	0.93	98.26	5419282
GCF_001066415.1	0.48	98.5	5275194
GCF_001066585.1	2.25	97.14	5342479
GCF_001066725.1	1.42	98.79	5431401
GCF_001067135.1	0.79	98.28	5421649
GCF_001067155.1	0.94	97.98	5414371
GCF_001067575.1	0.9	98.55	5498204
GCF_001067895.1	0.68	97.66	5437930
GCF_001067955.1	0.71	97.67	5442833
GCF_001068035.1	1.92	98.46	5173521
GCF_001077215.1	0.46	97.5	5442106
GCF_001182385.1	0.19	99.07	5782666
GCF_001182405.1	0.28	99.07	5594643
GCF_001182425.1	0.37	99.07	5728735
GCF_001182445.1	0.28	98.99	5637080
GCF_001182465.1	0.29	99.07	5739687
GCF_001182485.1	0.23	99.07	5742355
GCF_001182505.1	0.19	98.66	5731635
GCF_001182525.1	0.43	99.07	5736342
GCF_001182545.1	0.62	99.07	5742139
GCF_001182565.1	0.23	99.07	5741878
GCF_001182585.1	0.32	99.07	5734591
GCF_001182605.1	0.22	99.07	5539795
GCF_001182625.1	0.19	99.07	5740002
GCF_001182645.1	0.23	98.81	5749195
GCF_001182665.1	0.23	99.07	5790698
GCF_001182685.1	0.19	99.01	5694799
GCF_001185665.1			5991374
GCF_001185675.1	0.21	98.94	5870348
GCF_001185685.1	0.21	99.04	5794116
GCF_001185695.1	0.21	98.94	5848030
GCF_001185745.1	0.19	98.89	5899071
GCF_001185755.1	0.21	98.94	5923759
GCF_001185765.1	0.21	98.68	5895829
GCF_001185775.1	0.21	98.81	5706450
GCF_001185825.1	0.21	96.33	5762201
GCF_001185835.1	0.21	98.94	5925862
GCF_001185865.1	1.29	98.86	5861909
GCF_001185895.1	0.21	96.07	5698628
GCF_001185915.1	2.02	98.68	5632103
GCF_001185925.1	0.21	98.94	5851968
GCF_001185945.1	0.21	98.94	5875841
GCF_001185955.1	0.21	98.94	5864135
GCF_001185985.1	0.21	98.94	5907817
GCF_001186005.1	0.21	98.94	5916084
GCF_001186025.1	0.21	98.87	5890443
GCF_001186035.1	0.21	98.94	5871539
GCF_001186065.1	0.37	98.92	5695001
GCF_001238585.1	0.28	98.75	5669108
GCF_001275285.1	0.23	99.03	5549085
GCF_001275295.1	0.8	99.03	5705964
GCF_001275305.1	0.46	98.99	5695375
GCF_001307175.1	1.29	98.6	5696051
GCF_001404095.1	0.52	98.23	5271927
GCF_001441285.1	0.45	99.02	5675784
GCF_001441295.1	1.49	98.1	5748444
GCF_001455995.1	1.42	98.29	5980203
GCF_001456055.3	0.98	98.44	5680634
GCF_001456095.3	0.68	98.44	5650490
GCF_001456135.1	0.84	98.49	5874698
GCF_001457255.1	1.28	98.49	5396495
GCF_001457265.1	1.28	98.02	5376364
GCF_001457275.1	1.28	98.26	5390420
GCF_001457285.1	1.28	98.52	5390310
GCF_001457335.1	1.28	98.52	5395268
GCF_001460475.1	1.28	98.55	5401315
GCF_001460495.1	1.28	98.29	5391503
GCF_001460505.1	0.55	97.59	5221338
GCF_001460565.1	1.29	98.55	5398855
GCF_001460575.1	0.71	98.95	5472103
GCF_001460975.1	1.28	98.54	5389601
GCF_001460985.1	1.28	98.49	5388868
GCF_001462525.1	0.19	99.04	5674775
GCF_001462535.1	0.97	98.97	5410930
GCF_001462545.1	0.19	99.02	5665075
GCF_001462555.1	0.19	99.07	5605919
GCF_001462605.1	0.19	98.52	5676421
GCF_001462615.1	0.19	99.07	5667986
GCF_001462645.1	0.28	98.91	5724821
GCF_001462655.1	0.19	99.07	5660684
GCF_001462685.1	0.19	99.07	5655208
GCF_001462705.1	1.64	98.52	5906725
GCF_001462735.1	1.2	99.07	5981886
GCF_001462765.1	0.19	99.07	5657307
GCF_001462785.1	0.41	99.07	5686205
GCF_001462795.1	0.19	99.07	5596992
GCF_001462825.1	1.25	98.51	5818648
GCF_001462845.1	1.25	98.51	5769822
GCF_001462865.1	0.35	98.93	5712687
GCF_001462885.1	2.22	97.91	6030373
GCF_001462905.1	2	98.42	5833342
GCF_001462965.1	0.19	99.07	5503479
GCF_001463055.1	0.28	98.93	5738166
GCF_001463085.1	1.46	98.55	5586844
GCF_001463105.1	0.54	98.68	5471211
GCF_001463125.1	1.12	99.04	6095009
GCF_001463165.1	0.9	98.91	5491870
GCF_001463215.1	1.53	99.07	5579363
GCF_001463285.1	0.19	98.53	5493115
GCF_001463295.1	0.97	98.42	5485745
GCF_001463415.1	0.19	97.57	5399839
GCF_001463445.1	1.16	99.07	5292577
GCF_001463475.1	1.15	98.81	5687613
GCF_001463525.1	0.8	98.94	6002026
GCF_001463555.1	0.7	99.05	5871817
GCF_001463605.1	0.19	99.07	5486260
GCF_001463615.1	1.42	98.29	5725677
GCF_001463665.1	1.73	98.96	5560392
GCF_001471625.1	0.19	98.76	5594695
GCF_001471835.2	0.54	98.86	5980029
GCF_001482345.1	1.2	98.26	5406866
GCF_001482605.1	1.75	98.35	5622984
GCF_001482645.1	1	98.99	5457054
GCF_001482995.1	0.27	98.55	5891084
GCF_001483005.1	0.21	98.26	5903286
GCF_001483045.1	0.68	97.01	5653094
GCF_001483055.1	1.54	98.93	5470735
GCF_001483105.1	0.57	98.29	5990845
GCF_001483725.1	1.4	98.12	5363365
GCF_001510995.1	0.19	99.07	5655663
GCF_001511015.1	1.36	98.25	5873612
GCF_001511035.1	0.25	98.61	5647705
GCF_001511055.1	0.22	99.03	5653266
GCF_001511095.1	0.21	99.05	5530126
GCF_001511115.1	0.19	98.22	5587204
GCF_001511135.1	0.62	97.96	5700019
GCF_001511155.1	0.19	98.14	5585573
GCF_001511175.1	0.19	97.94	5587188
GCF_001511195.1	0.3	96.77	5416940
GCF_001511215.1	0.28	98.89	5624155
GCF_001511255.1	0.19	98.29	5584581
GCF_001511275.1	0.19	98.22	5554570
GCF_001511295.1	0.28	98.26	5493868
GCF_001511315.1	0.54	98.88	5668958
GCF_001511335.1	0.32	98.22	5581041
GCF_001511355.1	0.19	99.07	5588650
GCF_001511375.1	0.28	98.77	5674605
GCF_001511395.1	0.28	98.81	5677072
GCF_001511415.1	0.24	98.99	5652964
GCF_001511435.1	0.19	98.98	5651277
GCF_001511455.1	0.41	98.89	5657220
GCF_001511475.1	0.21	98.22	5550021
GCF_001511495.1	0.19	98.89	5653866
GCF_001511535.1	0.28	99.05	5507340
GCF_001511555.1	0.28	98.81	5674396
GCF_001511575.1	0.19	98.74	5658949
GCF_001511595.1	0.56	98.81	5707693
GCF_001511635.1	0.19	98.01	5540559
GCF_001511675.1	0.19	98.68	5645972
GCF_001511695.1	0.19	97.92	5415981
GCF_001511715.1	0.39	99.02	5763065
GCF_001511735.1	0.19	98.16	5590337
GCF_001517715.1	0.19	98.22	5588361
GCF_001517725.1	0.19	98.22	5588459
GCF_001517735.1	0.19	98.22	5585027
GCF_001517745.1	0.19	98.22	5591362
GCF_001517795.1	0.21	98.22	5594952
GCF_001517805.1	0.19	98.22	5592027
GCF_001517955.1	0.19	98.22	5589951
GCF_001534855.2	1.46	98	5584592
GCF_001546515.1	0.93	96.46	5401484
GCF_001549995.1	0.63	98.77	5397436
GCF_001557575.1	0.42	98.77	5604115
GCF_001574505.1	1.73	98.89	5857665
GCF_001596905.1	0.5	98.2	5517522
GCF_001596915.1	0.61	97.34	5514132
GCF_001596925.1	0.61	97.86	5512822
GCF_001596935.1	0.62	97.9	5518162
GCF_001596985.1	0.61	97.94	5514930
GCF_001596995.1	0.61	97.83	5486611
GCF_001597015.1	0.8	98.5	5374353
GCF_001597035.1	1.42	98.69	5683610
GCF_001597065.1	0.39	98.29	5466015
GCF_001597075.1	1.63	98.71	5477239
GCF_001597095.1	0.61	97.94	5513641
GCF_001597115.1	0.61	97.92	5515127
GCF_001597145.1	0.63	97.94	5520843
GCF_001597165.1	0.61	98.22	5522642
GCF_001597175.1	0.74	98.22	5519002
GCF_001597195.1	0.74	97.96	5517113
GCF_001597225.1	0.61	98.22	5517236
GCF_001597245.1	0.61	98.22	5514446
GCF_001613565.1	0.38	99.07	5546703
GCF_001613575.1	0.38	99.07	5550293
GCF_001613585.1	0.38	99.07	5541511
GCF_001613595.1	0.38	99.07	5544407
GCF_001613645.1	0.38	98.81	5545016
GCF_001613655.1	0.39	99.04	5546912
GCF_001613665.1	0.36	99.07	5574386
GCF_001613715.1	0.38	99.05	5534841
GCF_001630805.1	0.71	98.68	5604905
GCF_001640185.1	2.65	98.32	5927304
GCF_001644765.1	1.64	97.85	6088457
GCF_001646625.1	0.68	98.29	5495481
GCF_001647455.1	1.44	97.72	5625441
GCF_001647465.1	1.63	98.43	5526208
GCF_001647475.1	0.54	99.07	5637257
GCF_001648215.1	1.47	98.55	5566588
GCF_001653695.1	0.94	97.22	5566409
GCF_001661895.1	0.55	98.4	5555747
GCF_001663195.1	0.73	97.64	5420718
GCF_001663295.1	0.98	98.81	5779669
GCF_001663435.1	0.84	98.29	5536135
GCF_001663455.1	0.86	98.29	5730336
GCF_001665995.1	0.91	98.55	5545261
GCF_001666005.1	0.19	98.72	5454420
GCF_001666015.1	0.19	99.05	5672753
GCF_001667545.1	0.25	98.81	5556326
GCF_001675125.1	0.19	98.79	5681468
GCF_001676825.1	0.68	98.29	5495471
GCF_001678695.1	0.9	98.22	5416477
GCF_001679915.1	0.19	98.55	5626271
GCF_001693715.1	0.78	99.07	5389610
GCF_001695655.1	0.28	98.76	5735557
GCF_001695775.1	0.67	98.72	5766731
GCF_001698945.1	1.85	98.86	5402778
GCF_001699015.1	1.39	98.74	5183602
GCF_001699025.1	1.83	98.89	5383393
GCF_001699035.1			5352438
GCF_001699045.1	0.87	98.89	5128911
GCF_001699095.1	1.83	98.89	5366474
GCF_001699105.1			5361321
GCF_001701355.1	0.28	98.81	5623115
GCF_001701365.1	0.28	97.88	5655647
GCF_001701395.1	0.28	99.04	5750411
GCF_001701415.1	0.39	99.07	5810514
GCF_001701425.2	1.33	98.03	5760711
GCF_001701445.1	0.19	99.07	5680032
GCF_001701475.1	0.22	98.22	5612753
GCF_001701495.1	0.48	98.9	5799250
GCF_001701505.1	0.45	99.07	5813542
GCF_001701525.1	0.28	98.64	5673701
GCF_001701555.1	0.45	98.93	5921735
GCF_001701575.1	0.65	98.89	5538069
GCF_001701585.1	1.37	99.07	5527530
GCF_001701615.1	1.37	99.07	5505409
GCF_001701625.1	1.72	98.03	5536506
GCF_001701695.1	1.44	98.96	5534120
GCF_001701705.1	1.54	98.42	5506950
GCF_001701725.1	1.72	98.99	5379420
GCF_001701755.1	0.6	98.64	5756591
GCF_001701765.1	1.22	98.06	5430141
GCF_001701795.1	1.48	98.87	5886154
GCF_001701815.1	0.28	97.88	5657496
GCF_001701835.2	0.48	98.9	5843511
GCF_001701845.2	0.28	98.98	5674561
GCF_001701895.1	0.62	98.81	5860872
GCF_001701915.1	0.19	98.34	5561640
GCF_001701925.1	0.19	99.07	5665141
GCF_001701935.1	1.19	98.37	5897970
GCF_001701975.1	0.28	98.66	5703190
GCF_001701985.1	1.19	98.37	5889874
GCF_001702005.1	0.45	99.04	5926848
GCF_001702035.1	0.41	98.95	5883719
GCF_001702045.2	0.45	98.84	5992634
GCF_001704235.1	1.43	97.3	5558458
GCF_001705385.1	0.31	99.07	5803735
GCF_001707135.1	1.54	97.99	5677564
GCF_001708225.1	0.33	98.88	5587396
GCF_001708245.1	0.22	98.35	5412960
GCF_001709275.1	1.47	98.49	5805603
GCF_001709295.1	0.75	98.66	5483848
GCF_001715215.1	0.65	98.26	5608888
GCF_001717795.1	0.36	97.72	5208108
GCF_001718115.1			5702010
GCF_001718175.1	0.43	98.42	5504176
GCF_001720345.1	0.97	98.9	5921355
GCF_001720625.1	0.72	98.5	5431785
GCF_001720635.1	0.62	98.82	5719189
GCF_001720645.1	0.25	98.52	5427926
GCF_001720695.1	0.71	98.52	5322619
GCF_001720705.1	1.1	98.65	5701390
GCF_001720745.1	1.03	98.24	5660430
GCF_001720755.1	0.7	98.9	5654489
GCF_001720765.1	0.22	98.31	5551793
GCF_001720805.1	1.46	98.17	5712243
GCF_001720815.1	1.03	98.27	5660703
GCF_001720845.1	0.74	98.69	5490193
GCF_001720865.1	1.74	98.98	5718215
GCF_001720875.1	1.46	98.31	5712694
GCF_001720905.1	1.52	98.09	5614075
GCF_001721565.1	0.71	96	5452890
GCF_001721725.1	0.83	98.85	5312744
GCF_001741545.1	1.53	98.29	5798553
GCF_001741665.1	1.57	98.55	5880491
GCF_001746765.1	1.34	98.02	5517975
GCF_001750805.1			5759206
GCF_001855315.1	1.72	98.55	5718854
GCF_001856585.1	0.97	98.68	5727930
GCF_001856605.1	0.38	99.07	5565024
GCF_001866785.1	0.38	98.68	5640726
GCF_001867195.1	0.89	97.76	5276885
GCF_001870165.1	0.86	98.59	5597109
GCF_001874695.1	1.54	98.3	5565288
GCF_001874715.1	2.04	98.4	5737283
GCF_001874725.1	0.22	98.78	5894793
GCF_001874865.1	1.84	98.26	6017882
GCF_001874875.1	1.6	97.5	5628665
GCF_001875025.1	0.21	98.55	5886119
GCF_001875045.2	0.22	97.03	5753666
GCF_001875055.2	0.19	98.8	5741326
GCF_001875075.1	0.51	98.67	5653598
GCF_001875105.1	1.16	98.29	5784278
GCF_001875125.1	1.79	98.81	6102611
GCF_001875135.1	1.32	97.17	5543609
GCF_001875525.1	0.53	90.42	5513269
GCF_001876675.1	0.19	97.1	4807409
GCF_001879395.1	0.45	91.06	5572312
GCF_001879405.1	0.45	91.65	5642930
GCF_001884315.1	0.98	98	5628465
GCF_001884325.1	0.98	98.44	5604347
GCF_001884335.1	0.98	98.44	5634950
GCF_001884385.1	0.98	98.17	5575333
GCF_001884395.1	1.42	98.24	5576435
GCF_001884415.1	0.98	98.44	5603554
GCF_001884425.1	0.98	98.35	5634927
GCF_001884465.1	0.98	98.44	5604080
GCF_001884485.1	0.98	98.44	5643345
GCF_001884765.1	0.19	99.03	5737507
GCF_001885255.2	1.21	98.42	5920942
GCF_001887985.3			5632871
GCF_001887995.2	1.59	98.46	5461882
GCF_001901735.1	0.33	93.3	5478035
GCF_001901755.1	0.47	94.29	5307765
GCF_001901855.1	0.47	94.31	5635222
GCF_001902195.1	0.21	96.85	5778465
GCF_001902215.1	0.21	96.85	5773763
GCF_001902235.1	0.21	97.9	5811538
GCF_001902255.1	0.19	98.94	5594981
GCF_001902335.1	0.99	97.65	5851286
GCF_001902355.1	1.82	98.85	5778578
GCF_001902395.1			5676522
GCF_001902415.1	0.19	98.9	5584283
GCF_001902435.1	0.67	98.42	5655658
GCF_001902475.1	0.67	98.66	5699058
GCF_001902515.1	0.67	98.42	5658942
GCF_001902535.1	0.91	95.02	5513536
GCF_001902755.4	0.28	98.81	5795226
GCF_001902765.4	0.19	99.07	5633677
GCF_001902775.4	0.21	99.07	5609174
GCF_001902815.4	1.81	98.19	5598279
GCF_001902835.4	0.21	98.74	5548245
GCF_001902855.4	0.19	98.9	5541274
GCF_001902865.4	1.09	98.71	5583181
GCF_001902875.4	0.19	98.68	5440717
GCF_001902905.4	0.45	98.89	5555871
GCF_001902935.4	1.83	98.54	5665512
GCF_001902945.4	0.34	99.07	5680287
GCF_001902955.4	0.21	98.94	5601935
GCF_001902965.4	0.19	98.94	5555112
GCF_001903015.4	0.26	99.07	5837571
GCF_001903025.4	0.19	98.94	5347918
GCF_001903035.4	0.21	98.94	5610984
GCF_001903045.4	1.78	98.81	6219496
GCF_001903095.4	0.99	99.07	5775461
GCF_001903105.4	0.27	98.81	5939408
GCF_001903125.3	0.19	98.94	5572050
GCF_001903135.4	0.21	99.07	5667229
GCF_001903175.4	0.21	98.94	5696164
GCF_001903195.4	0.48	98.26	5610723
GCF_001903205.4	0.32	99.07	5675491
GCF_001903215.4	0.6	99.07	5770878
GCF_001903255.4	0.19	98.94	5367101
GCF_001903265.4	0.74	98.26	5621258
GCF_001903285.4	0.19	98.81	5649764
GCF_001903295.4	0.19	99.07	5666181
GCF_001903335.4	0.21	98.76	5674816
GCF_001903355.4	0.19	99.07	5484520
GCF_001903365.4	0.19	98.94	5468572
GCF_001903385.4	0.19	98.81	5530421
GCF_001903415.4	0.19	98.88	5588157
GCF_001903435.4	0.19	98.55	5518455
GCF_001903445.4	0.19	99.07	5657832
GCF_001903465.4	0.26	99.07	5828542
GCF_001903495.4	0.19	98.78	5574194
GCF_001903515.4	0.19	98.94	5553537
GCF_001903525.4	0.19	99.07	5705796
GCF_001903535.4	0.45	99.07	5659400
GCF_001903555.4	0.19	99.05	5666277
GCF_001903605.4	0.19	98.03	5534183
GCF_001903615.4	0.57	98.71	5577199
GCF_001903625.3	2.37	99.16	6483557
GCF_001903675.4	0.19	99.07	5522849
GCF_001903685.4	1.02	98.29	5652599
GCF_001903695.4	1.09	98.71	5572643
GCF_001903735.4	0.34	99.02	5800065
GCF_001903755.4	0.19	98.42	5654667
GCF_001903775.4	0.19	99.07	5670590
GCF_001903785.4	0.19	99.07	5585876
GCF_001903795.4	0.19	98.94	5392891
GCF_001903835.4	0.19	98.81	5396007
GCF_001903845.4	0.45	98.94	5559112
GCF_001903865.4	0.5	99.06	5778226
GCF_001903875.4	0.19	99.02	5524504
GCF_001903915.4	0.21	98.94	5755312
GCF_001903925.4	0.19	98.03	5491295
GCF_001903935.4	0.21	98.81	5601337
GCF_001903975.4	0.47	98.81	5962243
GCF_001903995.4	0.19	99.03	5496734
GCF_001904005.4	0.21	97.71	5714673
GCF_001904015.4	0.49	98.27	5509044
GCF_001904045.4	0.19	98.94	5470044
GCF_001904075.4	0.49	98.27	5509519
GCF_001904095.4	0.19	99.02	5460602
GCF_001904105.4	0.21	98.81	5890663
GCF_001904115.4	0.21	98.81	5894723
GCF_001904155.4	0.19	98.89	5541482
GCF_001904165.4	0.19	99.07	5527850
GCF_001904175.4	0.19	98.94	5551356
GCF_001904205.4	0.34	99.02	5679866
GCF_001904235.4	0.19	98.94	5389498
GCF_001904245.4	1.12	98.29	5672565
GCF_001904255.4	0.45	98.94	5740548
GCF_001904295.4	0.21	98.81	5889528
GCF_001904315.4	0.21	98.81	5888426
GCF_001904325.4	0.45	98.94	5557329
GCF_001904335.4	0.19	99.07	5517646
GCF_001904375.4	0.19	98.94	5544878
GCF_001904385.4	0.45	99.07	5542956
GCF_001904405.4	0.38	98.33	5512945
GCF_001904425.4	0.54	99.07	5807942
GCF_001904455.4	0.19	99.07	5647969
GCF_001904475.4	0.21	98.81	5575229
GCF_001904485.4	0.26	99.07	5826492
GCF_001904495.4	0.21	98.9	5755945
GCF_001904535.4	0.21	98	5714416
GCF_001905185.1	0.21	98.81	5575297
GCF_001905195.1	0.21	97.24	5601018
GCF_001905225.1	0.21	98.81	5597066
GCF_001905235.1	0.21	98.55	5609188
GCF_001905315.1	0.23	98.81	5599131
GCF_001906645.1	0.21	98.81	5576353
GCF_001906685.1	0.21	98.81	5575636
GCF_001906705.1	0.21	98.79	5670349
GCF_001906715.1	0.21	98.81	5668079
GCF_001906725.1	0.21	98.55	5608707
GCF_001907955.1	0.72	99.03	5311340
GCF_001908515.1	1.95	98.55	5752260
GCF_001908595.1	1.21	98.42	5916317
GCF_001908625.1	1.21	98.42	5907691
GCF_001908655.1	1.21	98.42	5913496
GCF_001908675.1	1.21	98.42	5921376
GCF_001908695.1	1.27	98.42	5914083
GCF_001908715.1	0.45	94.72	5379063
GCF_001908875.1	1.21	98.42	5920288
GCF_001908895.1	0.19	98.9	5526153
GCF_001913175.1	0.67	98.42	5627728
GCF_001922465.1	1.35	98.9	5779484
GCF_001931705.1	0.27	99.05	5427001
GCF_001936035.1	0.71	98.71	5387970
GCF_001938035.1	1.37	98.98	5635623
GCF_001939855.1	0.78	98.69	5735416
GCF_001939885.2	0.37	98.64	5652219
GCF_001945475.1	0.93	98.42	5406369
GCF_001950635.1	0.7	97.95	5427115
GCF_001950655.1	1.04	98.98	5539246
GCF_001950675.1	1.31	98.76	5549096
GCF_001952835.1	0.78	98.29	5269768
GCF_001952875.1	0.5	97.77	5435802
GCF_001952895.1	0.32	98.3	5880908
GCF_001952915.1	0.35	98.13	6063895
GCF_001956965.1	1.21	98.37	5869161
GCF_001968745.2	0.19	98.39	5493625
GCF_001968755.2	0.19	98.39	5516594
GCF_001969905.2	1.19	98.94	5649681
GCF_001970155.2	0.92	97.65	5528137
GCF_001970165.2	1	98.94	5878737
GCF_001970175.2	1.19	98.94	5647248
GCF_001984895.1	0.86	98.32	5692661
GCF_002009075.1	0.79	93.31	5852942
GCF_002055765.1	0.92	97.63	5838292
GCF_002055855.1	1.53	98.56	5884778
GCF_002056385.1	0.19	98.74	5666107
GCF_002056475.1	0.19	99.07	5708390
GCF_002085855.1	0.19	97.77	5652135
GCF_002085865.1	0.19	97.77	5695089
GCF_002086055.1	0.23	98.81	5674979
GCF_002087495.1	1.11	98.81	5419877
GCF_002087645.1	1.24	98.81	5381140
GCF_002087715.1	1.17	98.73	5395771
GCF_002099165.1	0.78	98.29	5474898
GCF_002102635.1	1.27	99.01	5517298
GCF_002102655.1	1.09	98.52	5493421
GCF_002102665.1	1.68	98.49	5745055
GCF_002103515.1	0.73	96.37	5620306
GCF_002103525.1	0.21	96.5	5664022
GCF_002103555.1	0.29	97.63	5706159
GCF_002103565.1	0.21	97.77	5704922
GCF_002103595.1	0.49	97.47	5705619
GCF_002103605.1	0.23	97.07	5647510
GCF_002103635.1	0.28	97.13	5648482
GCF_002103645.1	0.21	97.87	5684497
GCF_002103655.1	0.21	97.8	5694254
GCF_002103675.1	0.47	97.02	5672486
GCF_002103715.1	0.24	97.28	5671669
GCF_002103725.1	0.21	97.83	5654699
GCF_002103735.1	0.34	96.85	5667562
GCF_002103745.1	0.21	96.85	5636961
GCF_002104175.1	0.64	98.39	5535843
GCF_002104185.1	0.71	98.91	5757931
GCF_002104215.1	1.09	98.65	5852733
GCF_002104255.1	0.82	98.66	5513021
GCF_002104265.1	1.5	98.2	5808414
GCF_002104295.1	0.82	98.63	5759097
GCF_002104315.1	1.32	98.44	5816699
GCF_002104355.1	1	98.94	5933944
GCF_002104365.1	0.52	98.77	5527590
GCF_002104395.1	1.44	97.74	5609384
GCF_002104635.1	1.56	98.23	5620778
GCF_002105205.2	0.59	94.34	5373827
GCF_002108235.1	1.07	97.63	5662273
GCF_002108245.1	1.07	97.63	5704983
GCF_002108275.1	0.81	98.55	5395829
GCF_002108285.1	1.07	97.63	5631243
GCF_002108315.1	0.97	98.46	5372623
GCF_002108335.1	1.6	98.46	5460619
GCF_002108345.1	1.19	98.46	5399126
GCF_002108355.1	1.39	98.2	5454384
GCF_002108395.1	0.5	98.55	5521319
GCF_002108405.1	1.07	97.58	5623615
GCF_002108415.1	1.07	97.63	5664647
GCF_002113865.1	1.2	99.07	6081126
GCF_002114225.1	0.22	98.75	5584615
GCF_002115605.1	0.19	98.62	5566995
GCF_002115625.1	0.19	98.51	5395537
GCF_002115645.1	0.19	98.51	5406294
GCF_000699345.1	1.06	98.37	5580381
GCF_000709165.2	0.19	95.6	5495790
GCF_000699405.1	2.97	97.49	5563933
GCF_000699325.1	3.29	96.34	5705450
GCF_000699425.1	3.79	98.68	5676944
GCF_000706605.1	0.45	99.01	5822710
GCF_000707985.1	0.9	98.61	5878604
GCF_000693935.1	0.21	98.81	5713014
GCF_000693955.1	0.2	98.07	5723637
GCF_000693975.1	0.21	98.94	5910740
GCF_000693995.1	0.21	98.68	5884539
GCF_000694015.1	0.21	98.94	5911130
GCF_000694035.1	0.21	98.55	5966225
GCF_000694055.1	0.19	98.92	5783640
GCF_000694075.1	0.21	98.94	5909541
GCF_000694095.1	0.21	96.07	5772743
GCF_000694115.1	0.21	96.33	5805778
GCF_000694135.1	0.21	98.81	5692767
GCF_000694155.1	0.21	98.94	5879012
GCF_000694175.1	0.21	98.81	5688222
GCF_000694195.1	0.21	98.94	5874094
GCF_000694215.1	0.21	96.29	5751544
GCF_000694235.1	0.43	98.93	5429946
GCF_000694255.1	0.19	98.94	5819712
GCF_000694275.1	0.21	98.94	5965328
GCF_000694295.1	0.21	98.94	5884050
GCF_000694315.1	0.21	98.94	5721001
GCF_000694335.1	0.21	98.94	5879178
GCF_000694355.1	0.21	98.42	5936104
GCF_000694375.1	0.21	98.94	5901544
GCF_000694395.1	0.21	98.46	5933514
GCF_000694415.1	0.7	98.64	5913958
GCF_000982085.1	1.08	98.81	5259126
GCF_000813205.1	0.52	98.52	5329385
GCF_000809125.1	1.66	98.44	5858158
GCF_000694435.1	0.19	99.07	5772276
GCF_000694455.1	1.22	98.94	5515917
GCF_000694475.2	0.53	99.07	5714481
GCF_000694495.1	0.77	98.29	5513012
GCF_000694515.1	0.82	98.52	5407649
GCF_000694535.1	1.35	97.31	5884979
GCF_000694555.1	0.34	94.67	5053621
GCF_000694575.1	0.19	99.07	5699116
GCF_000694615.1	0.72	98.81	5776546
GCF_000694635.1	1.28	98.57	5691956
GCF_000694655.1	0.52	98.55	5630033
GCF_000694675.1	0.97	99.03	5508939
GCF_000694695.1	0.21	97.11	5505715
GCF_000694715.1	1.24	98.29	5588955
GCF_000694755.1	0.19	98.97	5764917
GCF_000773875.1	0.99	98.77	5469353
GCF_000981955.1	1.15	97.46	5423780
GCF_000982215.1	1.89	98.76	5437510
GCF_000982205.1	1.65	99.05	5504339
GCF_000982045.1	0.19	98.68	5587392
GCF_000826585.2	0.59	86.58	4944477
GCF_001056485.1	0.63	98.36	5179542
GCF_001067975.1	0.46	97.76	5442403
GCF_001068335.1	0.42	97.76	5451217
GCF_001598715.1	0.63	91.68	5175651
GCF_000742755.1	0.71	98.52	5374834
GCF_000775375.1	0.71	97.74	5695223
GCF_000775395.1	0.21	98.94	5858308
GCF_000784945.1	0.73	98.72	5520596
GCF_000784985.1	0.19	98.94	5484149
GCF_000785005.1	0.5	97.44	5473580
GCF_000981845.1			5648826
GCF_001008725.1	0.19	98.78	5821835
GCF_001052515.1	2.25	98.33	5415109
GCF_001055015.1	0.41	98.99	5358782
GCF_001056275.1	0.28	98.98	5356036
GCF_001058365.1	0.73	98.56	5222149
GCF_001061805.1	1.95	98.8	5476819
GCF_001076675.1	1.31	97.74	5541389
GCF_001316495.2	0.66	98.55	5708344
GCF_001316565.3	0.99	98.28	5846356
GCF_001316645.2	0.92	98.55	5731926
GCF_001316695.2	0.97	98.54	5729804
GCF_001316745.2	0.92	98.55	5721516
GCF_001316765.2	1.23	98.29	5863520
GCF_001316785.2	0.66	98.55	5707483
GCF_001316845.2	2.57	98.42	5651487
GCF_001316865.2	0.92	98.21	5738409
GCF_001316895.2	0.92	98.55	5733530
GCF_001316925.2	1.27	98.29	5864185
GCF_001316945.3	1.75	98.16	5953925
GCF_001316955.2	0.92	98.55	5731548
GCF_001316985.2	0.66	98.55	5603261
GCF_001317005.2	0.97	98.55	5746529
GCF_001317015.2	0.92	98.46	5734565
GCF_001317035.2	0.99	98.29	5727792
GCF_001317165.2	0.92	98.55	5749083
GCF_001317295.2	0.92	98.55	5735683
GCF_001317375.2	0.92	98.46	5739558
GCF_001399815.1	0.63	98.19	5839626
GCF_001521895.1	0.97	98.89	5535187
GCF_001529935.1	0.61	98.46	5690826
GCF_001530015.1	0.71	97.77	5450593
GCF_001566595.1	1.37	98.58	5679902
